"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge"
"297",412221638489998,2017,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2264.33318475846,60,145,120,48.7514813828533
"298",412221639489998,2017,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,2049.54079354994,36,127,92,48.365265967187
"299",412221817489998,2017,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,8386.18261321855,65,61,90,NA
"300",412221818489998,2017,0,12,14,"True fir","Sugar pine","Forest Service",10,4506.42684484527,58,NA,111,NA
"301",412222076489998,2017,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,1319.6251275333,37,NA,83,48.58012768173
"302",412222126489998,2017,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,1326.29665157027,51,NA,45,39.4879140279486
"303",412222135489998,2017,0,12,21,"True fir","Lodgepole pine","Other Federal",20,11217.1209303857,23,NA,115,NA
"304",412222203489998,2017,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,2116.78338390641,28,NA,78,NA
"305",412222204489998,2017,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,763.194729118548,30,NA,88,48.1478065976388
"306",412222205489998,2017,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,539.052111392244,46,NA,57,49.6062873123166
"307",412222368489998,2017,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Private and Native American",40,2893.14873423917,52,NA,95,48.9164139137705
"308",412222430489998,2017,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Private and Native American",40,491.870016911552,89,NA,30,NA
"309",412222544489998,2017,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Forest Service",10,3213.55848457631,70,111,103,49.2878125547183
"310",412222942489998,2017,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,3302.54922576795,67,355,124,48.8804708233727
"311",412223017489998,2017,0,12,10,"True fir","Douglas-fir","Private and Native American",40,3743.81915811114,50,164,130,NA
"312",484816145489998,2018,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,2881.78183868811,56,135,114,NA
"313",484816146489998,2018,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,9437.11879393746,46,434,166,48.0183399848754
"314",484816149489998,2018,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,367.50225566108,102,60,88,50.2856126237379
"315",484816150489998,2018,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,4641.53586780108,43,333,122,48.1829244991182
"316",484816158489998,2018,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Forest Service",10,5427.8601871311,66,247,107,49.1161419060911
"317",484816161489998,2018,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Private and Native American",40,2815.33525267541,65,NA,68,49.9154507485063
"318",484816162489998,2018,0,24,11,"Other western softwoods","Ponderosa and Jeffrey pines","Private and Native American",40,1008.85189193048,63,264,50,NA
"319",484816166489998,2018,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2815.28153964563,81,129,93,49.7399886787299
