"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight","estDomSpAge","county"
"166",345935173489998,2016,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,1658.11309659611,33,129,94.25,159.90550545887,"tehama"
"167",345935349489998,2016,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,4662.85037918391,163,66.6666666666667,130.666666666667,33.8974855892548,"tehama"
"168",345935546489998,2016,0,46,24,"Oak","Other western softwoods","Forest Service",10,1725.31765788496,95,NA,42.1764705882353,14.5709886395192,"tehama"
"169",345935698489998,2016,0,46,NA,"Oak",NA,"Private and Native American",40,241.777423322538,89,NA,34,12.0302428613013,"tehama"
"170",345936736489998,2016,0,12,15,"True fir","Western white pine","Forest Service",10,5176.77489527985,33,253,125.3,NA,"tehama"
"171",345936739489998,2016,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,459.397790142338,74,NA,23.6666666666667,9.49249741648519,"tehama"
"172",345936740489998,2016,0,10,12,"Douglas-fir","True fir","Forest Service",10,6483.66244498241,43,296,153.833333333333,NA,"tehama"
"173",345936741489998,2016,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,5663.63821658289,55,176.75,103.692307692308,108.679946907921,"tehama"
"174",412219784489998,2017,0,10,46,"Douglas-fir","Oak","Forest Service",10,7685.19838103431,43,NA,120.875,250.428219938609,"tehama"
"175",412220178489998,2017,0,24,46,"Other western softwoods","Oak","Private and Native American",40,489.500826451762,101,90,85,NA,"tehama"
"176",412221095489998,2017,0,20,10,"Incense-cedar","Douglas-fir","Private and Native American",40,9953.58349199269,65,75,61,NA,"tehama"
"177",412221373489998,2017,0,10,12,"Douglas-fir","True fir","Forest Service",10,3822.9830858953,59,NA,123.25,139.117155095414,"tehama"
"178",412221993489998,2017,0,46,NA,"Oak",NA,"State and local government",30,42.647563018198,87,NA,30,10.6171921818605,"tehama"
