"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"151",216961286020004,2014,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Private and Native American",40,1922.31524815152,38,NA,110
"152",216961709020004,2014,0,46,24,"Oak","Other western softwoods","Private and Native American",40,1202.56186741853,57,NA,41
"153",273640208489998,2015,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,5346.61395669324,44,NA,32
"154",273640215489998,2015,0,46,24,"Oak","Other western softwoods","Forest Service",10,123.507421088616,81,NA,26
"155",273640380489998,2015,0,46,NA,"Oak",NA,"Private and Native American",40,730.939086712528,73,NA,52
"156",273641646489998,2015,0,47,24,"Other western hardwoods","Other western softwoods","Forest Service",10,502.085987007128,94,NA,22
"157",273641963489998,2015,0,12,20,"True fir","Incense-cedar","Forest Service",10,15975.3707878152,33,NA,118
"158",273642388489998,2015,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,1693.35249594957,72,NA,55
"159",273642518489998,2015,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,3181.92125607086,68,NA,97
"160",345933653489998,2016,0,46,NA,"Oak",NA,"Private and Native American",40,19.61864941862,89,NA,18
"161",345933870489998,2016,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,5256.30857484071,53,NA,183
"162",345933871489998,2016,0,12,14,"True fir","Sugar pine","Private and Native American",40,7564.27242653268,52,107,101
"163",345934729489998,2016,0,12,10,"True fir","Douglas-fir","Forest Service",10,2828.67244381027,75,NA,61
"164",345934957489998,2016,0,12,46,"True fir","Oak","Private and Native American",40,1148.4053337075,35,207,90
"165",345935045489998,2016,0,46,24,"Oak","Other western softwoods","Private and Native American",40,3565.49450345777,94,NA,50
"166",345935173489998,2016,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,1658.11309659611,33,224,116
"167",345935349489998,2016,0,11,46,"Ponderosa and Jeffrey pines","Oak","Private and Native American",40,4662.85037918391,163,NA,152
"168",345935546489998,2016,0,46,24,"Oak","Other western softwoods","Forest Service",10,1725.31765788496,95,NA,52
"169",345935698489998,2016,0,46,NA,"Oak",NA,"Private and Native American",40,241.777423322538,89,NA,34
"170",345936736489998,2016,0,12,15,"True fir","Western white pine","Forest Service",10,5176.77489527985,33,290,136
