"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"129",345933872489998,2016,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,14568.7705598358,60,NA,103
"130",345934386489998,2016,0,47,11,"Other western hardwoods","Ponderosa and Jeffrey pines","Private and Native American",40,6732.09229239224,116,NA,89
"131",345935174489998,2016,0,12,NA,"True fir",NA,"Forest Service",10,12933.5073545957,86,NA,105
"132",345935509489998,2016,0,12,46,"True fir","Oak","Forest Service",10,6247.81950172163,61,NA,140
"133",345935510489998,2016,0,20,12,"Incense-cedar","True fir","Forest Service",10,11686.1611470112,88,NA,118
"134",412219900489998,2017,0,46,24,"Oak","Other western softwoods","Private and Native American",40,1866.87528887212,113,NA,42
"135",412220907489998,2017,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,4289.67298116446,61,68,105
"136",412221079489998,2017,0,46,20,"Oak","Incense-cedar","Forest Service",10,6489.28822270121,46,NA,70
"137",412221168489998,2017,0,10,20,"Douglas-fir","Incense-cedar","Private and Native American",40,1640.53835988191,42,NA,77
"138",412221858489998,2017,0,46,11,"Oak","Ponderosa and Jeffrey pines","Private and Native American",40,2869.86373152868,125,NA,100
"139",412222258489998,2017,0,46,24,"Oak","Other western softwoods","State and local government",30,1924.34554275534,124,NA,61
"140",412222412489998,2017,0,46,10,"Oak","Douglas-fir","Private and Native American",40,0,60,NA,NA
"141",412222414489998,2017,0,46,47,"Oak","Other western hardwoods","Private and Native American",40,3563.06139804781,66,NA,68
"142",412222518489998,2017,0,12,14,"True fir","Sugar pine","Forest Service",10,13580.3722574199,74,NA,133
"143",484816389489998,2018,0,46,47,"Oak","Other western hardwoods","Private and Native American",40,104.874333181532,81,NA,28
"144",484816391489998,2018,0,12,46,"True fir","Oak","Private and Native American",40,6538.0265990629,88,NA,99
"145",484816392489998,2018,0,47,46,"Other western hardwoods","Oak","Private and Native American",40,5446.2002289061,70,NA,91
"146",484816395489998,2018,0,47,10,"Other western hardwoods","Douglas-fir","Forest Service",10,7648.03327187405,69,NA,125
"147",484816396489998,2018,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,6456.51794418721,82,NA,117
"148",484816403489998,2018,0,47,10,"Other western hardwoods","Douglas-fir","Forest Service",10,12460.4197402883,63,NA,119
"149",484816404489998,2018,0,46,10,"Oak","Douglas-fir","Private and Native American",40,2828.61779856028,46,NA,49
"150",484816405489998,2018,0,10,20,"Douglas-fir","Incense-cedar","Forest Service",10,16110.747662003,83,NA,199
"151",484816406489998,2018,0,20,11,"Incense-cedar","Ponderosa and Jeffrey pines","Private and Native American",40,21134.9956985033,76,NA,103
