"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"120",216959440020004,2014,0,46,10,"Oak","Douglas-fir","Forest Service",10,5447.86763231437,50,NA,55
"121",216959545020004,2014,0,12,15,"True fir","Western white pine","Private and Native American",40,5093.50509259769,34,NA,110
"122",216959976020004,2014,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,2081.71693687097,47,NA,98
"123",216960584020004,2014,0,12,14,"True fir","Sugar pine","Forest Service",10,3374.17539177578,64,152,160
"124",216960767020004,2014,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,1939.25419848838,92,NA,101
"125",216961368020004,2014,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,901.93559713441,24,NA,38
"126",216961531020004,2014,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,4133.98058504265,31,221,102
"127",273639929489998,2015,0,46,11,"Oak","Ponderosa and Jeffrey pines","Forest Service",10,9563.09827361291,48,NA,53
"128",273640390489998,2015,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,9421.53035212425,47,NA,125
"129",273640391489998,2015,0,12,14,"True fir","Sugar pine","Private and Native American",40,2498.26778366669,46,183,115
"130",273640738489998,2015,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,2961.58458067768,28,NA,84
"131",273641026489998,2015,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,4705.19349178203,49,101,93
"132",273641335489998,2015,0,12,14,"True fir","Sugar pine","Forest Service",10,5422.39648611811,58,126,124
"133",273641815489998,2015,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Private and Native American",40,950.094322977952,71,NA,80
"134",273642392489998,2015,0,10,47,"Douglas-fir","Other western hardwoods","Forest Service",10,15293.2310526837,80,NA,192
"135",273642735489998,2015,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Forest Service",10,2454.9849232867,74,NA,112
"136",345933647489998,2016,0,20,12,"Incense-cedar","True fir","Forest Service",10,11150.0865138359,75,NA,120
"137",345933861489998,2016,0,46,10,"Oak","Douglas-fir","Forest Service",10,3842.36828334749,35,NA,37
"138",345933908489998,2016,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,3858.63654035328,55,NA,110
"139",345934143489998,2016,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,540.731621299626,38,73,60
"140",345936036489998,2016,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,320.138496577274,95,NA,125
"141",345936043489998,2016,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,1509.63713346638,41,230,130
"142",345936044489998,2016,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,1839.90839475581,22,353,69
"143",345936427489998,2016,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,8350.33675307741,39,NA,110
"144",345936535489998,2016,0,20,12,"Incense-cedar","True fir","Forest Service",10,2898.07372350256,39,201,84
"145",345936573489998,2016,0,10,12,"Douglas-fir","True fir","Forest Service",10,7686.09608246477,55,NA,165
"146",412220275489998,2017,0,12,14,"True fir","Sugar pine","Forest Service",10,2728.53209259486,33,NA,88
"147",412221273489998,2017,0,12,11,"True fir","Ponderosa and Jeffrey pines","Private and Native American",40,8009.39585910346,63,NA,124
"148",412221283489998,2017,0,11,12,"Ponderosa and Jeffrey pines","True fir","Private and Native American",40,2668.3617625992,87,NA,99
"149",412221449489998,2017,0,48,11,"Woodland hardwoods","Ponderosa and Jeffrey pines","Forest Service",10,875.004892237384,60,NA,NA
"150",412221694489998,2017,0,12,15,"True fir","Western white pine","Forest Service",10,8140.81076347674,38,246,160
"151",412221695489998,2017,0,11,12,"Ponderosa and Jeffrey pines","True fir","Forest Service",10,625.722638605608,99,NA,33
"152",412222400489998,2017,0,10,46,"Douglas-fir","Oak","Forest Service",10,2656.98039870718,48,NA,125
"153",412222711489998,2017,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,3290.75157675825,109,48,78
"154",412223205489998,2017,0,10,12,"Douglas-fir","True fir","Forest Service",10,5064.48439827068,48,NA,121
"155",484816537489998,2018,0,46,10,"Oak","Douglas-fir","Forest Service",10,6976.08684019301,42,NA,46
"156",484816538489998,2018,0,12,10,"True fir","Douglas-fir","Forest Service",10,8862.55029159344,54,NA,167
"157",484816539489998,2018,0,21,12,"Lodgepole pine","True fir","Forest Service",10,3294.19152177557,59,258,105
"158",484816541489998,2018,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,1528.39985888689,47,72,111
"159",484816545489998,2018,0,11,24,"Ponderosa and Jeffrey pines","Other western softwoods","Forest Service",10,491.291916665022,104,41,62
"160",484816546489998,2018,0,10,11,"Douglas-fir","Ponderosa and Jeffrey pines","Forest Service",10,11352.3116757346,62,NA,166
"161",484816547489998,2018,0,12,NA,"True fir",NA,"Forest Service",10,7837.82722502561,38,NA,104
