"","plotID","lastInvYr","lastInvYrSD","priSpecies","secSpecies","priSpeciesName","secSpeciesName","owner","ownerCD","volPerAcre","SI","dominantTreeAge","dominantTreeheight"
"104",15647751010497,2010,0,11,20,"Ponderosa and Jeffrey pines","Incense-cedar","Forest Service",10,489.236529131172,49,165,97
"105",22930292010497,2008,0,12,20,"True fir","Incense-cedar","Forest Service",10,6851.09939675886,54,163,125
"106",22930293010497,2008,0,12,10,"True fir","Douglas-fir","Forest Service",10,4040.0372435096,48,96,124
"107",22930298010497,2008,0,10,20,"Douglas-fir","Incense-cedar","Forest Service",10,15816.8780949563,58,NA,190
"108",22930299010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,5108.9496804598,71,NA,95
"109",22930316010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,26454.5711116243,63,NA,153
"110",22930319010497,2008,0,46,NA,"Oak",NA,"Forest Service",10,261.203946622608,57,NA,56
"111",22930320010497,2008,0,11,14,"Ponderosa and Jeffrey pines","Sugar pine","Forest Service",10,6995.150752524,30,NA,108
"112",22930321010497,2008,0,20,14,"Incense-cedar","Sugar pine","Forest Service",10,2725.01477538086,49,198,60
"113",22930322010497,2008,0,11,NA,"Ponderosa and Jeffrey pines",NA,"Forest Service",10,2319.32924386251,99,NA,93
"114",22930327010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,877.23454678515,39,158,98
"115",22930328010497,2008,0,11,48,"Ponderosa and Jeffrey pines","Woodland hardwoods","Forest Service",10,1086.41892144511,74,164,93
"116",22930335010497,2008,0,48,11,"Woodland hardwoods","Ponderosa and Jeffrey pines","Forest Service",10,1765.85897183758,42,NA,11
"117",22930340010497,2008,0,10,12,"Douglas-fir","True fir","Forest Service",10,11031.9188634619,51,NA,157
"118",22930346010497,2008,0,12,11,"True fir","Ponderosa and Jeffrey pines","Forest Service",10,8764.09060116377,62,367,155
"119",22930351010497,2008,0,12,10,"True fir","Douglas-fir","Forest Service",10,4630.03346137737,54,NA,72
"120",22930352010497,2008,0,12,NA,"True fir",NA,"Forest Service",10,5586.75943918845,36,467,144
